,Nodes,Edges,Avg. Degree,Diameter,Characteristic Path Length,Clustering Coeff,Density,Heterogeneity,Centralization
Big,1379,21191,8.522,13,3.771,0.142,0.006,1.651,0.133
Big*,1379,21191,25.653,4,2.255,0.602,0.019,2.461,0.734
Blitz,615,6041,7.823,7,3.193,0.143,0.013,1.645,0.157
Blitz*,615,6041,17.649,4,2.248,0.595,0.029,2.106,0.706
Bullet,511,13115,8.761,7,2.968,0.23,0.018,1.593,0.33
Bullet*,511,13115,30.2,4,2.068,0.699,0.059,1.679,0.797
Tournament Blitz,74,139,3.029,7,3.125,0.213,0.045,1.235,0.276
Tournament Blitz*,74,139,3.757,5,2.618,0.266,0.051,1.511,0.426
Tournament Bullet,123,347,3.179,7,3.392,0.153,0.029,1.368,0.274
Tournament Bullet*,123,347,5.415,5,2.369,0.387,0.044,1.825,0.655
Tournament Classical,18,20,2,7,3,0.091,0.143,0.856,0.495
Tournament Classical*,18,20,2.22,5,2.51,0.112,0.131,0.919,0.515